env,iteration,avg_return
SpaceInvaders,0,121.0
SpaceInvaders,1,1148.5882352941176
SpaceInvaders,2,1007.5903614457832
SpaceInvaders,3,1046.697247706422
SpaceInvaders,4,192.0
SpaceInvaders,5,1097.1830985915492
SpaceInvaders,6,113.33333333333333
SpaceInvaders,7,1043.2222222222222
SpaceInvaders,8,88.75
SpaceInvaders,9,860.2380952380952
SpaceInvaders,10,215.0
SpaceInvaders,11,928.7113402061856
SpaceInvaders,12,190.5
SpaceInvaders,13,884.4859813084112
SpaceInvaders,14,110.0
SpaceInvaders,15,698.4426229508197
SpaceInvaders,16,140.55555555555554
SpaceInvaders,17,924.7311827956989
SpaceInvaders,18,180.55555555555554
SpaceInvaders,19,865.9677419354839
SpaceInvaders,20,135.0
SpaceInvaders,21,820.2064220183486
SpaceInvaders,22,151.11111111111111
SpaceInvaders,23,783.9130434782609
SpaceInvaders,24,150.0
SpaceInvaders,25,863.8461538461538
SpaceInvaders,26,117.5
SpaceInvaders,27,737.4675324675325
SpaceInvaders,28,739.7619047619048
SpaceInvaders,29,128.0
SpaceInvaders,30,700.1
SpaceInvaders,31,110.0
SpaceInvaders,32,683.6315789473684
SpaceInvaders,33,158.33333333333334
SpaceInvaders,34,634.030612244898
SpaceInvaders,35,110.0
SpaceInvaders,36,630.9473684210526
SpaceInvaders,37,648.2038834951456
SpaceInvaders,38,601.7977528089888
Pong,0,-20.333333333333332
Pong,1,11.428571428571429
Pong,2,-20.5
Pong,3,10.770642201834862
Pong,4,-20.22222222222222
Pong,5,10.542857142857143
Pong,6,-20.666666666666668
Pong,7,9.85
Pong,8,-20.333333333333332
Pong,9,9.818181818181818
Pong,10,-20.75
Pong,11,9.902985074626866
Pong,12,-19.666666666666668
Pong,13,6.184782608695652
Pong,14,-21.0
Pong,15,10.795698924731182
Pong,16,-20.166666666666668
Pong,17,10.5
Pong,18,-20.0
Pong,19,6.403846153846154
Pong,20,-20.333333333333332
Pong,21,9.86111111111111
Pong,22,-20.0
Pong,23,8.620253164556962
Pong,24,4.3604651162790695
Pong,25,-20.4
Pong,26,2.282051282051282
Pong,27,1.0649350649350648
Pong,28,-20.0
Pong,29,-1.141025641025641
Pong,30,-20.25
Pong,31,-6.892857142857143
Pong,32,-20.0
Pong,33,-1.0806451612903225
Pong,34,-1.3170731707317074
Pong,35,-20.333333333333332
Pong,36,-1.1818181818181819
Pong,37,-0.125
Pong,38,-20.0
Pong,39,-2.0
Pong,40,-20.0
Pong,41,-3.0
Pong,42,-21.0
Pong,43,-5.686567164179104
Pong,44,-20.375
Pong,45,-9.432835820895523
Pong,46,-21.0
Pong,47,-6.842696629213483
Pong,48,-20.75
Pong,49,-16.83695652173913
Pong,50,-20.5
Pong,51,-18.5
Breakout,0,156.34615384615384
Breakout,1,1.0
Breakout,2,107.76923076923077
Breakout,3,1.0
Breakout,4,126.6923076923077
Breakout,5,1.327659574468085
Breakout,6,1.3333333333333333
Breakout,7,110.6086956521739
Breakout,8,1.3333333333333333
Breakout,9,121.91666666666667
Breakout,10,1.3333333333333333
Breakout,11,1.5494071146245059
Breakout,12,0.6666666666666666
Breakout,13,117.45714285714286
Breakout,14,1.5872340425531914
Breakout,15,2.6
Breakout,16,22.272727272727273
